Package ID,City,Pincode,Ship Date,Delivery Date,Status,Partner,Delay Reason,Delivery Time (hrs),Latitude,Longitude
PKG1,Nashik,422004,2024-06-22,2024-06-25,Delivered,BlueDart,,72.0,20.01,73.8
PKG2,Nashik,422001,2024-06-09,2024-06-11,Delayed,Ekart,Address Not Found,48.0,19.9975,73.7898
PKG3,Nashik,422003,2024-06-24,2024-06-25,Delivered,Ekart,,24.0,20.005,73.795
PKG4,Nashik,422001,2024-06-11,2024-06-14,Delivered,XpressBees,,72.0,19.9975,73.7898
PKG5,Nashik,422003,2024-06-06,2024-06-07,Failed,Delhivery,Traffic,24.0,20.005,73.795
PKG6,Nagpur,440003,2024-06-24,2024-06-25,Delivered,Ekart,,24.0,21.15,79.09
PKG7,Nashik,422002,2024-06-10,2024-06-11,Failed,Delhivery,,24.0,20.002,73.79
PKG8,Nashik,422002,2024-06-27,2024-06-29,Delivered,BlueDart,,48.0,20.002,73.79
PKG9,Nagpur,440004,2024-06-08,2024-06-10,Delivered,Ekart,,48.0,21.16,79.1
PKG10,Nagpur,440003,2024-06-01,2024-06-03,Delivered,XpressBees,,48.0,21.15,79.09
PKG11,Nashik,422003,2024-06-13,2024-06-17,Delayed,XpressBees,Traffic,96.0,20.005,73.795
PKG12,Nashik,422003,2024-06-23,2024-06-26,Delivered,XpressBees,,72.0,20.005,73.795
PKG13,Nashik,422002,2024-06-13,2024-06-16,Delivered,XpressBees,,72.0,20.002,73.79
PKG14,Nashik,422002,2024-06-07,2024-06-10,Delivered,Delhivery,,72.0,20.002,73.79
PKG15,Nagpur,440002,2024-06-11,2024-06-14,Delayed,Delhivery,,72.0,21.1466,79.0849
PKG16,Nagpur,440003,2024-06-04,2024-06-05,Delivered,BlueDart,,24.0,21.15,79.09
PKG17,Nashik,422004,2024-06-06,2024-06-09,Delivered,Delhivery,,72.0,20.01,73.8
